feature	chromosome	start	end	SLX-17922.D704tp_D505tp.HC22GBBXY.s_6.r_1	SLX-17921.D705tp_D508tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.112	1.013
1:2000001-2500000	1	2000001	2500000	0.996	0.96
1:3000001-3500000	1	3000001	3500000	0.892	0.915
1:3500001-4000000	1	3500001	4000000	0.969	1.007
1:4000001-4500000	1	4000001	4500000	1.046	1.03
1:4500001-5000000	1	4500001	5000000	1.097	0.989
1:5000001-5500000	1	5000001	5500000	0.945	1.004
1:6000001-6500000	1	6000001	6500000	1.085	1.029
1:6500001-7000000	1	6500001	7000000	1.008	1
1:7000001-7500000	1	7000001	7500000	1.011	1.029
1:7500001-8000000	1	7500001	8000000	0.988	0.981
1:8000001-8500000	1	8000001	8500000	0.976	0.986
1:9000001-9500000	1	9000001	9500000	1.039	0.993
1:10000001-10500000	1	10000001	10500000	0.961	1.001
1:10500001-11000000	1	10500001	11000000	1.046	1.026
1:11000001-11500000	1	11000001	11500000	1.028	1.08
1:11500001-12000000	1	11500001	12000000	0.972	1.052
1:12000001-12500000	1	12000001	12500000	0.937	0.98
1:13500001-14000000	1	13500001	14000000	0.997	0.986
1:14000001-14500000	1	14000001	14500000	0.918	1.017
1:14500001-15000000	1	14500001	15000000	1.039	1.05
1:15000001-15500000	1	15000001	15500000	0.975	1.03
1:15500001-16000000	1	15500001	16000000	0.973	0.955
1:16000001-16500000	1	16000001	16500000	1.05	1
1:17000001-17500000	1	17000001	17500000	0.927	1.015
1:17500001-18000000	1	17500001	18000000	0.982	1.065
1:18000001-18500000	1	18000001	18500000	1.078	1.067
1:18500001-19000000	1	18500001	19000000	0.994	0.997
1:19000001-19500000	1	19000001	19500000	0.946	0.943
1:19500001-20000000	1	19500001	20000000	1.086	1.038
1:20000001-20500000	1	20000001	20500000	1.043	1.099
1:20500001-21000000	1	20500001	21000000	0.96	0.95
1:21000001-21500000	1	21000001	21500000	0.849	1.057
1:21500001-22000000	1	21500001	22000000	1.017	1.039
1:22000001-22500000	1	22000001	22500000	0.961	0.99
1:22500001-23000000	1	22500001	23000000	1.019	0.983
1:23000001-23500000	1	23000001	23500000	1.025	1.04
1:23500001-24000000	1	23500001	24000000	1.071	0.949
1:24000001-24500000	1	24000001	24500000	0.979	0.958
1:24500001-25000000	1	24500001	25000000	0.932	0.955
1:25000001-25500000	1	25000001	25500000	0.931	0.996
1:25500001-26000000	1	25500001	26000000	1.055	0.983
1:26000001-26500000	1	26000001	26500000	0.969	0.982
1:26500001-27000000	1	26500001	27000000	0.958	1.018
1:27000001-27500000	1	27000001	27500000	0.957	0.987
1:27500001-28000000	1	27500001	28000000	0.931	0.938
1:28000001-28500000	1	28000001	28500000	0.934	0.908
1:28500001-29000000	1	28500001	29000000	1.016	0.972
1:29000001-29500000	1	29000001	29500000	1.051	1.057
1:29500001-30000000	1	29500001	30000000	0.976	1.029
1:30000001-30500000	1	30000001	30500000	1.022	1.059
1:30500001-31000000	1	30500001	31000000	0.939	0.983
1:31000001-31500000	1	31000001	31500000	1.094	1.044
1:31500001-32000000	1	31500001	32000000	1	0.991
1:32500001-33000000	1	32500001	33000000	1.062	1.034
1:33000001-33500000	1	33000001	33500000	1.005	0.997
1:34000001-34500000	1	34000001	34500000	1.065	0.986
1:34500001-35000000	1	34500001	35000000	1.051	1.021
1:35000001-35500000	1	35000001	35500000	0.893	0.994
1:35500001-36000000	1	35500001	36000000	1.033	0.912
1:36000001-36500000	1	36000001	36500000	0.946	1.01
1:36500001-37000000	1	36500001	37000000	1.003	1.041
1:37000001-37500000	1	37000001	37500000	1.06	1.119
1:37500001-38000000	1	37500001	38000000	1.013	1.068
1:38000001-38500000	1	38000001	38500000	1.084	1.021
1:39000001-39500000	1	39000001	39500000	1.007	0.987
1:39500001-40000000	1	39500001	40000000	1.035	1.042
1:40000001-40500000	1	40000001	40500000	1.018	0.964
1:40500001-41000000	1	40500001	41000000	0.932	0.994
1:41000001-41500000	1	41000001	41500000	1.008	0.988
1:41500001-42000000	1	41500001	42000000	0.986	0.994
1:42000001-42500000	1	42000001	42500000	1.035	1.014
1:42500001-43000000	1	42500001	43000000	0.931	1.038
1:43000001-43500000	1	43000001	43500000	1.078	1.111
1:43500001-44000000	1	43500001	44000000	0.994	0.966
1:44000001-44500000	1	44000001	44500000	1.013	0.96
1:44500001-45000000	1	44500001	45000000	1.064	0.995
1:45000001-45500000	1	45000001	45500000	1.025	0.997
1:45500001-46000000	1	45500001	46000000	0.95	0.886
1:46000001-46500000	1	46000001	46500000	1.024	0.966
1:46500001-47000000	1	46500001	47000000	1.044	1.043
1:47000001-47500000	1	47000001	47500000	1.018	1.039
1:47500001-48000000	1	47500001	48000000	1.136	1.006
1:48000001-48500000	1	48000001	48500000	1.133	1.097
1:48500001-49000000	1	48500001	49000000	1.031	1.008
1:49000001-49500000	1	49000001	49500000	1.11	1.027
1:49500001-50000000	1	49500001	50000000	1.007	1.034
1:50500001-51000000	1	50500001	51000000	1.019	1.022
1:51000001-51500000	1	51000001	51500000	0.92	1.006
1:51500001-52000000	1	51500001	52000000	0.944	0.972
1:52000001-52500000	1	52000001	52500000	1.123	0.996
1:53000001-53500000	1	53000001	53500000	1.112	1.028
1:53500001-54000000	1	53500001	54000000	1.095	1.015
1:54000001-54500000	1	54000001	54500000	1.034	1.049
1:54500001-55000000	1	54500001	55000000	1.009	1.053
1:55500001-56000000	1	55500001	56000000	1.066	1.041
1:56000001-56500000	1	56000001	56500000	1.027	1.027
1:56500001-57000000	1	56500001	57000000	1.049	1.025
1:57000001-57500000	1	57000001	57500000	1.006	1.027
1:57500001-58000000	1	57500001	58000000	1.032	1.011
1:58000001-58500000	1	58000001	58500000	1.078	1.128
1:58500001-59000000	1	58500001	59000000	1.002	1.042
1:59000001-59500000	1	59000001	59500000	1.06	1.066
1:59500001-60000000	1	59500001	60000000	1.119	1.08
1:60000001-60500000	1	60000001	60500000	1.059	1.096
1:60500001-61000000	1	60500001	61000000	1.032	1.074
1:61000001-61500000	1	61000001	61500000	0.955	0.968
1:61500001-62000000	1	61500001	62000000	1.035	0.981
1:62000001-62500000	1	62000001	62500000	1.043	0.984
1:62500001-63000000	1	62500001	63000000	0.99	1.022
1:63000001-63500000	1	63000001	63500000	1.035	0.919
1:63500001-64000000	1	63500001	64000000	1.033	1.02
1:64000001-64500000	1	64000001	64500000	0.967	1.065
1:64500001-65000000	1	64500001	65000000	0.963	0.986
1:65000001-65500000	1	65000001	65500000	0.99	0.976
1:65500001-66000000	1	65500001	66000000	1.065	1.062
1:66500001-67000000	1	66500001	67000000	1.014	1.052
1:67000001-67500000	1	67000001	67500000	1.071	1.008
1:68000001-68500000	1	68000001	68500000	0.932	1.086
1:68500001-69000000	1	68500001	69000000	1.059	0.985
1:69000001-69500000	1	69000001	69500000	1.06	1.061
1:69500001-70000000	1	69500001	70000000	0.999	0.997
1:70000001-70500000	1	70000001	70500000	1	0.961
1:70500001-71000000	1	70500001	71000000	1.013	0.963
1:71000001-71500000	1	71000001	71500000	0.988	1.043
1:71500001-72000000	1	71500001	72000000	1.011	0.99
1:72000001-72500000	1	72000001	72500000	0.947	0.95
1:72500001-73000000	1	72500001	73000000	1.047	1.007
1:73500001-74000000	1	73500001	74000000	0.975	0.987
1:74000001-74500000	1	74000001	74500000	0.985	1.103
1:74500001-75000000	1	74500001	75000000	1.127	1.05
1:75000001-75500000	1	75000001	75500000	1.121	1.007
1:75500001-76000000	1	75500001	76000000	0.887	0.933
1:76000001-76500000	1	76000001	76500000	1.111	1.004
1:77000001-77500000	1	77000001	77500000	0.977	1.011
1:77500001-78000000	1	77500001	78000000	0.946	0.919
1:78000001-78500000	1	78000001	78500000	1.051	1.075
1:78500001-79000000	1	78500001	79000000	0.972	1.097
1:79000001-79500000	1	79000001	79500000	1.014	0.978
1:79500001-80000000	1	79500001	80000000	0.883	0.974
1:80000001-80500000	1	80000001	80500000	0.972	0.942
1:80500001-81000000	1	80500001	81000000	1.064	1.005
1:81000001-81500000	1	81000001	81500000	0.982	0.948
1:81500001-82000000	1	81500001	82000000	0.948	0.937
1:82000001-82500000	1	82000001	82500000	1.034	0.943
1:82500001-83000000	1	82500001	83000000	1.051	0.957
1:83500001-84000000	1	83500001	84000000	1.012	1.007
1:84000001-84500000	1	84000001	84500000	0.999	1.035
1:84500001-85000000	1	84500001	85000000	1.004	0.939
1:85000001-85500000	1	85000001	85500000	1.011	0.967
1:85500001-86000000	1	85500001	86000000	1.089	0.975
1:86000001-86500000	1	86000001	86500000	0.989	0.973
1:86500001-87000000	1	86500001	87000000	1.013	1.053
1:87000001-87500000	1	87000001	87500000	1.042	1.069
1:87500001-88000000	1	87500001	88000000	0.967	0.899
1:88000001-88500000	1	88000001	88500000	1.107	1.054
1:88500001-89000000	1	88500001	89000000	0.935	1.004
1:89000001-89500000	1	89000001	89500000	1.063	1.083
1:89500001-90000000	1	89500001	90000000	0.951	1.002
1:90000001-90500000	1	90000001	90500000	1.028	1.078
1:90500001-91000000	1	90500001	91000000	1.098	0.964
1:91000001-91500000	1	91000001	91500000	1.083	1.096
1:91500001-92000000	1	91500001	92000000	1.028	0.969
1:92000001-92500000	1	92000001	92500000	1.034	1.08
1:92500001-93000000	1	92500001	93000000	1.031	0.919
1:93000001-93500000	1	93000001	93500000	0.997	0.966
1:94000001-94500000	1	94000001	94500000	0.967	1.013
1:94500001-95000000	1	94500001	95000000	1.045	0.979
1:95000001-95500000	1	95000001	95500000	0.937	1.092
1:95500001-96000000	1	95500001	96000000	0.961	0.983
1:96000001-96500000	1	96000001	96500000	1.064	1.08
1:96500001-97000000	1	96500001	97000000	0.985	1.008
1:97000001-97500000	1	97000001	97500000	1.035	1.073
1:97500001-98000000	1	97500001	98000000	0.967	1.012
1:98000001-98500000	1	98000001	98500000	1.063	1.072
1:98500001-99000000	1	98500001	99000000	1.117	0.982
1:99000001-99500000	1	99000001	99500000	0.984	0.996
1:99500001-100000000	1	99500001	100000000	0.959	0.985
1:100000001-100500000	1	100000001	100500000	0.92	0.915
1:100500001-101000000	1	100500001	101000000	0.973	1.051
1:101000001-101500000	1	101000001	101500000	1.018	0.909
1:101500001-102000000	1	101500001	102000000	0.966	0.949
1:102500001-103000000	1	102500001	103000000	1.041	0.999
1:103000001-103500000	1	103000001	103500000	1.088	1.012
1:104000001-104500000	1	104000001	104500000	0.953	0.952
1:104500001-105000000	1	104500001	105000000	0.925	0.936
1:105000001-105500000	1	105000001	105500000	0.97	0.995
1:105500001-106000000	1	105500001	106000000	1.062	0.935
1:106000001-106500000	1	106000001	106500000	1.088	0.941
1:107000001-107500000	1	107000001	107500000	1.115	0.959
1:107500001-108000000	1	107500001	108000000	1.045	1.049
1:108500001-109000000	1	108500001	109000000	0.948	0.911
1:109000001-109500000	1	109000001	109500000	0.97	0.962
1:109500001-110000000	1	109500001	110000000	1.054	1
1:110000001-110500000	1	110000001	110500000	0.949	1.01
1:110500001-111000000	1	110500001	111000000	0.986	0.941
1:111000001-111500000	1	111000001	111500000	0.979	1.019
1:111500001-112000000	1	111500001	112000000	0.953	0.913
1:112000001-112500000	1	112000001	112500000	1.066	1.084
1:112500001-113000000	1	112500001	113000000	1.129	1.012
1:113000001-113500000	1	113000001	113500000	1.135	1.019
1:113500001-114000000	1	113500001	114000000	0.99	0.926
1:114000001-114500000	1	114000001	114500000	0.992	0.994
1:114500001-115000000	1	114500001	115000000	0.973	0.957
1:115000001-115500000	1	115000001	115500000	1.014	1.05
1:115500001-116000000	1	115500001	116000000	1.058	0.998
1:116000001-116500000	1	116000001	116500000	1.036	1.055
1:116500001-117000000	1	116500001	117000000	1.095	1.048
1:117000001-117500000	1	117000001	117500000	1.058	1.056
1:117500001-118000000	1	117500001	118000000	0.943	0.984
1:118000001-118500000	1	118000001	118500000	1.067	1.036
